seed	dt_1_test	rf_1_test	dt_1_train	rf_1_train	dt_2_test	rf_2_test	dt_2_train	rf_2_train	dt_3_test	rf_3_test	dt_3_train	rf_3_train	dt_4_test	rf_4_test	dt_4_train	rf_4_train	dt_5_test	rf_5_test	dt_5_train	rf_5_train	dt_6_test	rf_6_test	dt_6_train	rf_6_train	dt_None_test	rf_None_test	dt_None_train	rf_None_train
79	0.295	0.34	0.28625	0.32625	0.375	0.535	0.36125	0.535	0.44	0.64	0.40625	0.655	0.465	0.765	0.4675	0.775	0.54	0.765	0.60375	0.83875	0.64	0.79	0.7125	0.89875	0.69	0.8	0.96125	0.995
80	0.25	0.255	0.3125	0.3125	0.28	0.34	0.3525	0.405	0.275	0.415	0.315	0.5025	0.32	0.53	0.36125	0.585	0.335	0.645	0.37125	0.7175	0.365	0.67	0.41125	0.8175	0.46	0.705	0.58375	0.98625
81	0.31	0.315	0.275	0.30375	0.425	0.49	0.35875	0.4675	0.505	0.59	0.45125	0.5425	0.555	0.665	0.56	0.6475	0.61	0.68	0.6525	0.725	0.605	0.735	0.7075	0.80875	0.765	0.755	0.99875	0.9925
82	0.325	0.435	0.26	0.39125	0.37	0.47	0.32875	0.455	0.385	0.62	0.43625	0.61375	0.5	0.65	0.56875	0.71375	0.535	0.705	0.64875	0.7775	0.595	0.765	0.7225	0.8575	0.765	0.795	0.99375	0.995
83	0.2	0.305	0.23875	0.3275	0.325	0.45	0.33375	0.565	0.5	0.575	0.5	0.6775	0.55	0.71	0.6125	0.74125	0.65	0.725	0.7025	0.8	0.715	0.795	0.79125	0.85625	0.8	0.78	1.0	0.99375
84	0.285	0.305	0.3225	0.35875	0.395	0.49	0.44	0.53375	0.44	0.6	0.5225	0.67	0.535	0.705	0.62875	0.7775	0.6	0.73	0.71875	0.84625	0.65	0.77	0.8175	0.905	0.72	0.8	1.0	0.99625
85	0.35	0.385	0.3125	0.375	0.4	0.545	0.36375	0.5525	0.465	0.625	0.43	0.655	0.495	0.725	0.47125	0.73875	0.545	0.785	0.5475	0.82125	0.67	0.815	0.64875	0.8775	0.835	0.845	1.0	0.9975
86	0.375	0.435	0.34875	0.45	0.46	0.51	0.45125	0.5525	0.48	0.615	0.5325	0.635	0.595	0.665	0.6225	0.705	0.67	0.685	0.71875	0.75	0.695	0.76	0.79125	0.82125	0.795	0.795	0.93625	0.9775
87	0.225	0.28	0.275	0.3175	0.29	0.465	0.35875	0.51875	0.4	0.62	0.48375	0.67125	0.49	0.68	0.56625	0.8025	0.55	0.785	0.6775	0.88	0.695	0.795	0.80875	0.91375	0.76	0.84	0.9775	0.99625
88	0.34	0.41	0.3725	0.44	0.455	0.505	0.515	0.53875	0.56	0.63	0.61875	0.65875	0.645	0.72	0.695	0.75125	0.67	0.76	0.74	0.8075	0.73	0.77	0.7975	0.86625	0.77	0.775	0.99875	0.99875
89	0.46	0.455	0.425	0.42625	0.51	0.595	0.5025	0.575	0.59	0.71	0.60875	0.685	0.69	0.8	0.7175	0.80875	0.735	0.82	0.8025	0.88125	0.805	0.84	0.8825	0.9325	0.805	0.835	0.97375	0.99
90	0.275	0.34	0.3425	0.41	0.33	0.435	0.3925	0.49375	0.33	0.495	0.405	0.56875	0.495	0.525	0.515	0.64375	0.58	0.595	0.58375	0.72	0.645	0.705	0.65375	0.81	0.675	0.795	0.86	0.9975
91	0.41	0.43	0.3975	0.4225	0.47	0.555	0.4675	0.55125	0.57	0.665	0.57	0.67	0.635	0.725	0.6525	0.7475	0.745	0.79	0.73	0.81625	0.785	0.79	0.79375	0.87875	0.81	0.815	0.91875	0.99875
92	0.195	0.27	0.24	0.3575	0.27	0.39	0.33875	0.455	0.32	0.49	0.45375	0.60125	0.475	0.62	0.54625	0.70375	0.575	0.705	0.65625	0.8175	0.645	0.765	0.755	0.86375	0.735	0.775	0.92625	0.99875
93	0.36	0.36	0.39125	0.39125	0.485	0.49	0.45	0.51	0.605	0.705	0.52625	0.6925	0.64	0.73	0.6175	0.725	0.67	0.77	0.65375	0.76875	0.68	0.79	0.71625	0.83625	0.78	0.825	1.0	0.9925
94	0.27	0.3	0.2775	0.34125	0.285	0.36	0.34	0.43125	0.355	0.51	0.43875	0.62625	0.425	0.635	0.52875	0.76625	0.475	0.71	0.585	0.855	0.615	0.77	0.67875	0.905	0.775	0.84	0.9925	0.99875
95	0.335	0.455	0.335	0.45125	0.43	0.57	0.4275	0.56375	0.525	0.655	0.5875	0.67625	0.565	0.715	0.63875	0.7525	0.685	0.79	0.7075	0.85375	0.74	0.83	0.805	0.91375	0.645	0.83	0.8425	0.99625
96	0.31	0.38	0.31125	0.41375	0.395	0.53	0.38	0.55875	0.5	0.58	0.5075	0.6875	0.595	0.615	0.59875	0.73625	0.66	0.7	0.68875	0.81625	0.67	0.78	0.77875	0.88375	0.81	0.8	1.0	0.99125
97	0.41	0.415	0.4225	0.41875	0.54	0.54	0.555	0.5525	0.63	0.605	0.60375	0.61	0.695	0.73	0.7175	0.765	0.725	0.71	0.79625	0.82625	0.775	0.735	0.8575	0.875	0.79	0.81	1.0	0.98875
98	0.205	0.345	0.27625	0.41625	0.3	0.45	0.3625	0.54375	0.375	0.525	0.45125	0.6275	0.47	0.605	0.57625	0.72875	0.555	0.69	0.6875	0.7925	0.66	0.72	0.75625	0.8725	0.665	0.73	0.93875	0.99625
99	0.37	0.305	0.335	0.2875	0.405	0.445	0.45125	0.535	0.535	0.585	0.56	0.72	0.61	0.735	0.66	0.82125	0.625	0.785	0.7025	0.8475	0.63	0.8	0.7475	0.8975	0.68	0.825	0.83375	0.9975
