curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
0.25	66	0.305	0.305	0.009152889251708984	0.32	0.32	0.10347938537597656	0.23	0.23	0.12627553939819336	0.29	0.29	0.12931299209594727	0.23	0.23	0.4115169048309326	0.125	0.125	0.4216427803039551
0.25	67	0.3	0.3	0.009105682373046875	0.3	0.3	0.10577797889709473	0.345	0.345	0.1343226432800293	0.295	0.295	0.15069031715393066	0.305	0.305	0.4554169178009033	0.08	0.08	0.4373595714569092
0.25	68	0.305	0.305	0.009207725524902344	0.33	0.33	0.10272550582885742	0.3	0.3	0.12556982040405273	0.27	0.27	0.13009428977966309	0.235	0.235	0.4186520576477051	0.145	0.145	0.42397189140319824
0.25	69	0.23	0.23	0.00908350944519043	0.235	0.235	0.10271215438842773	0.24	0.24	0.12686371803283691	0.24	0.24	0.13164901733398438	0.26	0.26	0.4804391860961914	0.22	0.22	0.5071916580200195
0.5	70	0.18	0.18	0.008884191513061523	0.29	0.29	0.11163640022277832	0.235	0.235	0.12319517135620117	0.2	0.2	0.13052678108215332	0.195	0.195	0.40821313858032227	0.14	0.14	0.4195587635040283
0.5	71	0.235	0.235	0.009068965911865234	0.235	0.235	0.10337519645690918	0.225	0.225	0.12497162818908691	0.225	0.225	0.1301589012145996	0.2	0.2	0.4065680503845215	0.2	0.2	0.4178276062011719
0.5	72	0.265	0.265	0.009022712707519531	0.28	0.28	0.12427973747253418	0.28	0.28	0.15323162078857422	0.21	0.21	0.1407303810119629	0.275	0.275	0.4340822696685791	0.275	0.275	0.4383547306060791
0.5	73	0.28	0.28	0.009127378463745117	0.28	0.28	0.10381150245666504	0.265	0.265	0.1216890811920166	0.275	0.275	0.1296699047088623	0.275	0.275	0.4075503349304199	0.225	0.225	0.41914844512939453
0.5	74	0.275	0.275	0.009225845336914062	0.325	0.325	0.10547733306884766	0.28	0.28	0.12519621849060059	0.24	0.24	0.16924190521240234	0.285	0.285	0.4646279811859131	0.2	0.2	0.47529077529907227
0.5	75	0.35	0.35	0.009074211120605469	0.42	0.42	0.11183309555053711	0.36	0.36	0.1262190341949463	0.405	0.405	0.12907648086547852	0.37	0.37	0.40654945373535156	0.37	0.37	0.41901087760925293
0.5	76	0.205	0.205	0.008883476257324219	0.23	0.23	0.10240316390991211	0.2	0.2	0.1255495548248291	0.22	0.22	0.13123464584350586	0.175	0.175	0.4027400016784668	0.165	0.165	0.4309709072113037
0.5	77	0.315	0.315	0.012179851531982422	0.26	0.26	0.1110069751739502	0.29	0.29	0.13344717025756836	0.31	0.31	0.15127301216125488	0.32	0.32	0.41747498512268066	0.315	0.315	0.4215672016143799
0.5	78	0.185	0.185	0.009185552597045898	0.23	0.23	0.10370111465454102	0.135	0.135	0.12604451179504395	0.19	0.19	0.13226318359375	0.175	0.175	0.41098713874816895	0.19	0.19	0.4153144359588623
0.5	79	0.24	0.24	0.009115457534790039	0.36	0.36	0.10256242752075195	0.295	0.295	0.15041732788085938	0.185	0.185	0.14287567138671875	0.225	0.225	0.4599111080169678	0.16	0.16	0.47402191162109375
1.0	80	0.26	0.26	0.009167671203613281	0.28	0.28	0.10531330108642578	0.22	0.22	0.1262216567993164	0.19	0.19	0.1337275505065918	0.215	0.215	0.4114382266998291	0.225	0.225	0.4221651554107666
1.0	81	0.255	0.255	0.00921487808227539	0.26	0.26	0.10403609275817871	0.16	0.16	0.12861061096191406	0.175	0.175	0.13056206703186035	0.155	0.155	0.40918970108032227	0.18	0.18	0.45041465759277344
1.0	82	0.255	0.255	0.009200811386108398	0.315	0.315	0.11484217643737793	0.255	0.255	0.13866376876831055	0.25	0.25	0.13080739974975586	0.19	0.19	0.41994643211364746	0.17	0.17	0.4264669418334961
1.0	83	0.275	0.275	0.008975505828857422	0.325	0.325	0.10117268562316895	0.23	0.23	0.12281680107116699	0.245	0.245	0.12898969650268555	0.255	0.255	0.40920329093933105	0.26	0.26	0.417356014251709
1.0	84	0.35	0.35	0.009180307388305664	0.325	0.325	0.10349178314208984	0.24	0.24	0.14263153076171875	0.26	0.26	0.1414937973022461	0.28	0.28	0.45965576171875	0.22	0.22	0.4616861343383789
1.0	85	0.29	0.29	0.008785247802734375	0.29	0.29	0.10213255882263184	0.245	0.245	0.12373709678649902	0.245	0.245	0.13113832473754883	0.265	0.265	0.40729594230651855	0.245	0.245	0.4163944721221924
1.0	86	0.275	0.275	0.009176492691040039	0.295	0.295	0.10397195816040039	0.24	0.24	0.1248936653137207	0.265	0.265	0.1316523551940918	0.22	0.22	0.40825605392456055	0.23	0.23	0.45857810974121094
1.0	87	0.27	0.27	0.012537479400634766	0.265	0.265	0.11387252807617188	0.185	0.185	0.12486410140991211	0.21	0.21	0.1333451271057129	0.19	0.19	0.40897464752197266	0.215	0.215	0.4240851402282715
1.0	88	0.2	0.2	0.009537696838378906	0.27	0.27	0.10898160934448242	0.18	0.18	0.12600398063659668	0.19	0.19	0.13061237335205078	0.18	0.18	0.4149501323699951	0.135	0.135	0.4225616455078125
1.0	89	0.26	0.26	0.009133577346801758	0.27	0.27	0.10392928123474121	0.16	0.16	0.12591242790222168	0.165	0.165	0.13586139678955078	0.23	0.23	0.41393017768859863	0.195	0.195	0.4204561710357666
2.0	90	0.205	0.205	0.009716987609863281	0.23	0.23	0.1089622974395752	0.24	0.24	0.13129138946533203	0.245	0.245	0.13140511512756348	0.16	0.16	0.41583800315856934	0.22	0.22	0.42046308517456055
2.0	91	0.295	0.295	0.009096384048461914	0.34	0.34	0.10277962684631348	0.26	0.26	0.1283576488494873	0.315	0.315	0.1312119960784912	0.315	0.315	0.41538381576538086	0.31	0.31	0.42302918434143066
2.0	92	0.295	0.295	0.00902247428894043	0.32	0.32	0.10234284400939941	0.285	0.285	0.12581562995910645	0.255	0.255	0.13064098358154297	0.25	0.25	0.4092564582824707	0.25	0.25	0.417280912399292
2.0	93	0.275	0.275	0.009194374084472656	0.265	0.265	0.10368680953979492	0.265	0.265	0.12781500816345215	0.295	0.295	0.14380955696105957	0.295	0.295	0.4090390205383301	0.295	0.295	0.41758084297180176
2.0	94	0.285	0.285	0.009138345718383789	0.29	0.29	0.1043233871459961	0.3	0.3	0.1240534782409668	0.325	0.325	0.12933063507080078	0.335	0.335	0.41153478622436523	0.335	0.335	0.41562891006469727
2.0	95	0.265	0.265	0.00872802734375	0.31	0.31	0.09939169883728027	0.16	0.16	0.12607789039611816	0.19	0.19	0.13062596321105957	0.2	0.2	0.414217472076416	0.16	0.16	0.42503809928894043
2.0	96	0.205	0.205	0.009002447128295898	0.27	0.27	0.10279250144958496	0.21	0.21	0.12527108192443848	0.21	0.21	0.1295933723449707	0.19	0.19	0.4064939022064209	0.19	0.19	0.4177570343017578
2.0	97	0.26	0.26	0.009030342102050781	0.29	0.29	0.10252952575683594	0.24	0.24	0.12586379051208496	0.265	0.265	0.12878131866455078	0.22	0.22	0.4064462184906006	0.22	0.22	0.4193990230560303
2.0	98	0.23	0.23	0.009187936782836914	0.235	0.235	0.10246825218200684	0.165	0.165	0.12304449081420898	0.18	0.18	0.13004660606384277	0.135	0.135	0.4118156433105469	0.135	0.135	0.4188857078552246
2.0	99	0.325	0.325	0.009066104888916016	0.33	0.33	0.10457253456115723	0.22	0.22	0.1232919692993164	0.285	0.285	0.13029217720031738	0.225	0.225	0.4029824733734131	0.215	0.215	0.41361212730407715
4.0	100	0.245	0.245	0.00905919075012207	0.22	0.22	0.09912514686584473	0.25	0.25	0.12419462203979492	0.19	0.19	0.12926864624023438	0.19	0.19	0.4066958427429199	0.19	0.19	0.4174156188964844
4.0	101	0.22	0.22	0.009155750274658203	0.195	0.195	0.10483241081237793	0.205	0.205	0.12384629249572754	0.205	0.205	0.12900352478027344	0.205	0.205	0.4081740379333496	0.205	0.205	0.4176013469696045
4.0	102	0.27	0.27	0.009035348892211914	0.275	0.275	0.10178732872009277	0.255	0.255	0.12454748153686523	0.26	0.26	0.12932586669921875	0.255	0.255	0.40459680557250977	0.255	0.255	0.4147367477416992
4.0	103	0.24	0.24	0.009177446365356445	0.28	0.28	0.10406970977783203	0.205	0.205	0.12471795082092285	0.17	0.17	0.13048219680786133	0.14	0.14	0.40329933166503906	0.155	0.155	0.41300535202026367
4.0	104	0.235	0.235	0.008986234664916992	0.26	0.26	0.10206770896911621	0.16	0.16	0.12682056427001953	0.145	0.145	0.1301426887512207	0.15	0.15	0.4070415496826172	0.2	0.2	0.41750311851501465
4.0	105	0.19	0.19	0.009154558181762695	0.235	0.235	0.10393023490905762	0.21	0.21	0.12437820434570312	0.21	0.21	0.1291811466217041	0.21	0.21	0.40711259841918945	0.21	0.21	0.4170217514038086
4.0	106	0.385	0.385	0.009181499481201172	0.345	0.345	0.1033625602722168	0.255	0.255	0.12630128860473633	0.265	0.265	0.13340520858764648	0.295	0.295	0.40610814094543457	0.295	0.295	0.4159970283508301
4.0	107	0.18	0.18	0.009089946746826172	0.22	0.22	0.10128474235534668	0.19	0.19	0.12891650199890137	0.205	0.205	0.13240933418273926	0.205	0.205	0.40429043769836426	0.205	0.205	0.4161207675933838
4.0	108	0.285	0.285	0.008909940719604492	0.26	0.26	0.10187029838562012	0.215	0.215	0.12614798545837402	0.24	0.24	0.12869834899902344	0.2	0.2	0.4047212600708008	0.2	0.2	0.4114725589752197
4.0	109	0.21	0.21	0.009196758270263672	0.26	0.26	0.10366559028625488	0.25	0.25	0.12574553489685059	0.24	0.24	0.1300182342529297	0.245	0.245	0.4068944454193115	0.245	0.245	0.41436028480529785
